KOD WOJ,WOJEWÓDZTWO,IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,REGINA,KOBIETA,7
02,DOLNOŚLĄSKIE,LEOKADIA,KOBIETA,7
02,DOLNOŚLĄSKIE,LEA,KOBIETA,7
02,DOLNOŚLĄSKIE,KALINA,KOBIETA,7
02,DOLNOŚLĄSKIE,HONORATA,KOBIETA,7
02,DOLNOŚLĄSKIE,DANIELA,KOBIETA,7
02,DOLNOŚLĄSKIE,BIANKA,KOBIETA,7
02,DOLNOŚLĄSKIE,ANITA,KOBIETA,7
02,DOLNOŚLĄSKIE,ANGELIKA,KOBIETA,7
02,DOLNOŚLĄSKIE,VICTORIA,KOBIETA,6
02,DOLNOŚLĄSKIE,MARLENA,KOBIETA,6
02,DOLNOŚLĄSKIE,MALINA,KOBIETA,6
02,DOLNOŚLĄSKIE,LARA,KOBIETA,6
02,DOLNOŚLĄSKIE,GENOWEFA,KOBIETA,6
02,DOLNOŚLĄSKIE,FELICJA,KOBIETA,6
02,DOLNOŚLĄSKIE,EUGENIA,KOBIETA,6
02,DOLNOŚLĄSKIE,ESTERA,KOBIETA,6
02,DOLNOŚLĄSKIE,ADA,KOBIETA,6
02,DOLNOŚLĄSKIE,WIOLETA,KOBIETA,5
02,DOLNOŚLĄSKIE,WALERIA,KOBIETA,5
02,DOLNOŚLĄSKIE,VIOLETTA,KOBIETA,5
02,DOLNOŚLĄSKIE,VIKTORIA,KOBIETA,5
02,DOLNOŚLĄSKIE,PELAGIA,KOBIETA,5
02,DOLNOŚLĄSKIE,NOEMI,KOBIETA,5
02,DOLNOŚLĄSKIE,NICOLA,KOBIETA,5
02,DOLNOŚLĄSKIE,NATASZA,KOBIETA,5
02,DOLNOŚLĄSKIE,MELANIA,KOBIETA,5
02,DOLNOŚLĄSKIE,KONSTANCJA,KOBIETA,5
02,DOLNOŚLĄSKIE,KAZIMIERA,KOBIETA,5
02,DOLNOŚLĄSKIE,JÓZEFINA,KOBIETA,5
02,DOLNOŚLĄSKIE,JAŚMINA,KOBIETA,5
02,DOLNOŚLĄSKIE,BOGUSŁAWA,KOBIETA,5
02,DOLNOŚLĄSKIE,BALBINA,KOBIETA,5
02,DOLNOŚLĄSKIE,ADELA,KOBIETA,5
02,DOLNOŚLĄSKIE,WŁADYSŁAWA,KOBIETA,4
02,DOLNOŚLĄSKIE,ROMA,KOBIETA,4
02,DOLNOŚLĄSKIE,MIROSŁAWA,KOBIETA,4
02,DOLNOŚLĄSKIE,LUIZA,KOBIETA,4
02,DOLNOŚLĄSKIE,LILA,KOBIETA,4
02,DOLNOŚLĄSKIE,JULIANNA,KOBIETA,4
02,DOLNOŚLĄSKIE,JUDYTA,KOBIETA,4
02,DOLNOŚLĄSKIE,INGA,KOBIETA,4
02,DOLNOŚLĄSKIE,CZESŁAWA,KOBIETA,4
02,DOLNOŚLĄSKIE,BERNADETTA,KOBIETA,4
02,DOLNOŚLĄSKIE,ALDONA,KOBIETA,4
02,DOLNOŚLĄSKIE,ŻANETA,KOBIETA,3
02,DOLNOŚLĄSKIE,WALENTYNA,KOBIETA,3
02,DOLNOŚLĄSKIE,ROSE,KOBIETA,3
02,DOLNOŚLĄSKIE,PAULA,KOBIETA,3
02,DOLNOŚLĄSKIE,OKTAWIA,KOBIETA,3
02,DOLNOŚLĄSKIE,NADZIEJA,KOBIETA,3
02,DOLNOŚLĄSKIE,MIRA,KOBIETA,3
02,DOLNOŚLĄSKIE,LUNA,KOBIETA,3
02,DOLNOŚLĄSKIE,LILLA,KOBIETA,3
02,DOLNOŚLĄSKIE,JULITA,KOBIETA,3
02,DOLNOŚLĄSKIE,JOWITA,KOBIETA,3
02,DOLNOŚLĄSKIE,IZABELLA,KOBIETA,3
02,DOLNOŚLĄSKIE,HIACYNTA,KOBIETA,3
02,DOLNOŚLĄSKIE,GRETA,KOBIETA,3
02,DOLNOŚLĄSKIE,GIZELA,KOBIETA,3
02,DOLNOŚLĄSKIE,ELENA,KOBIETA,3
02,DOLNOŚLĄSKIE,DOBRAWA,KOBIETA,3
02,DOLNOŚLĄSKIE,CELINA,KOBIETA,3
02,DOLNOŚLĄSKIE,BRONISŁAWA,KOBIETA,3
02,DOLNOŚLĄSKIE,AURORA,KOBIETA,3
02,DOLNOŚLĄSKIE,AMANDA,KOBIETA,3
02,DOLNOŚLĄSKIE,ŻYWIA,KOBIETA,2
02,DOLNOŚLĄSKIE,ZOJA,KOBIETA,2
02,DOLNOŚLĄSKIE,ZDZISŁAWA,KOBIETA,2
02,DOLNOŚLĄSKIE,TEODOZJA,KOBIETA,2
02,DOLNOŚLĄSKIE,ŚWIĘTOSŁAWA,KOBIETA,2
02,DOLNOŚLĄSKIE,SOPHIA,KOBIETA,2
02,DOLNOŚLĄSKIE,SOFIA,KOBIETA,2
02,DOLNOŚLĄSKIE,RUT,KOBIETA,2
02,DOLNOŚLĄSKIE,OLIVIA,KOBIETA,2
02,DOLNOŚLĄSKIE,OLIMPIA,KOBIETA,2
02,DOLNOŚLĄSKIE,MILA,KOBIETA,2
02,DOLNOŚLĄSKIE,MERCEDES,KOBIETA,2
02,DOLNOŚLĄSKIE,MELISA,KOBIETA,2
02,DOLNOŚLĄSKIE,MARINA,KOBIETA,2
02,DOLNOŚLĄSKIE,MARCELA,KOBIETA,2
02,DOLNOŚLĄSKIE,LILIA,KOBIETA,2
02,DOLNOŚLĄSKIE,KLEMENTYNA,KOBIETA,2
02,DOLNOŚLĄSKIE,IDA,KOBIETA,2
02,DOLNOŚLĄSKIE,GRACE,KOBIETA,2
02,DOLNOŚLĄSKIE,GLORIA,KOBIETA,2
02,DOLNOŚLĄSKIE,ELWIRA,KOBIETA,2
02,DOLNOŚLĄSKIE,ELEONORA,KOBIETA,2
02,DOLNOŚLĄSKIE,DOBROSŁAWA,KOBIETA,2
02,DOLNOŚLĄSKIE,CARMEN,KOBIETA,2
02,DOLNOŚLĄSKIE,BOGNA,KOBIETA,2
02,DOLNOŚLĄSKIE,BERENIKA,KOBIETA,2
02,DOLNOŚLĄSKIE,ATENA,KOBIETA,2
02,DOLNOŚLĄSKIE,ARIANA,KOBIETA,2
02,DOLNOŚLĄSKIE,APOLONIA,KOBIETA,2
02,DOLNOŚLĄSKIE,ANETTA,KOBIETA,2
02,DOLNOŚLĄSKIE,ANDŻELIKA,KOBIETA,2
02,DOLNOŚLĄSKIE,AMIRA,KOBIETA,2
02,DOLNOŚLĄSKIE,ALFREDA,KOBIETA,2
02,DOLNOŚLĄSKIE,ADELAJDA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,MARIA,KOBIETA,267
04,KUJAWSKO-POMORSKIE,ANNA,KOBIETA,215
04,KUJAWSKO-POMORSKIE,ZOFIA,KOBIETA,80
04,KUJAWSKO-POMORSKIE,MAGDALENA,KOBIETA,70
04,KUJAWSKO-POMORSKIE,HELENA,KOBIETA,68
04,KUJAWSKO-POMORSKIE,BARBARA,KOBIETA,58
04,KUJAWSKO-POMORSKIE,MAŁGORZATA,KOBIETA,57
04,KUJAWSKO-POMORSKIE,KATARZYNA,KOBIETA,57
04,KUJAWSKO-POMORSKIE,EWA,KOBIETA,50
04,KUJAWSKO-POMORSKIE,ALEKSANDRA,KOBIETA,49
04,KUJAWSKO-POMORSKIE,TERESA,KOBIETA,44
04,KUJAWSKO-POMORSKIE,ALICJA,KOBIETA,44
04,KUJAWSKO-POMORSKIE,ELŻBIETA,KOBIETA,43
04,KUJAWSKO-POMORSKIE,JULIA,KOBIETA,42
04,KUJAWSKO-POMORSKIE,JOANNA,KOBIETA,40
04,KUJAWSKO-POMORSKIE,WIKTORIA,KOBIETA,38
04,KUJAWSKO-POMORSKIE,HANNA,KOBIETA,38
04,KUJAWSKO-POMORSKIE,ŁUCJA,KOBIETA,36
04,KUJAWSKO-POMORSKIE,KRYSTYNA,KOBIETA,35
04,KUJAWSKO-POMORSKIE,AGATA,KOBIETA,35
04,KUJAWSKO-POMORSKIE,WERONIKA,KOBIETA,34
04,KUJAWSKO-POMORSKIE,MARTA,KOBIETA,34
04,KUJAWSKO-POMORSKIE,NATALIA,KOBIETA,32
04,KUJAWSKO-POMORSKIE,AGNIESZKA,KOBIETA,32
04,KUJAWSKO-POMORSKIE,ANTONINA,KOBIETA,31
04,KUJAWSKO-POMORSKIE,AMELIA,KOBIETA,31
04,KUJAWSKO-POMORSKIE,ZUZANNA,KOBIETA,30
04,KUJAWSKO-POMORSKIE,KAROLINA,KOBIETA,30
04,KUJAWSKO-POMORSKIE,JANINA,KOBIETA,28
04,KUJAWSKO-POMORSKIE,ANASTAZJA,KOBIETA,28
04,KUJAWSKO-POMORSKIE,MAJA,KOBIETA,26
04,KUJAWSKO-POMORSKIE,IRENA,KOBIETA,26
04,KUJAWSKO-POMORSKIE,URSZULA,KOBIETA,25
04,KUJAWSKO-POMORSKIE,LENA,KOBIETA,25
04,KUJAWSKO-POMORSKIE,GABRIELA,KOBIETA,25
04,KUJAWSKO-POMORSKIE,MICHALINA,KOBIETA,24
04,KUJAWSKO-POMORSKIE,LAURA,KOBIETA,24
04,KUJAWSKO-POMORSKIE,OLIWIA,KOBIETA,23
04,KUJAWSKO-POMORSKIE,MONIKA,KOBIETA,23
04,KUJAWSKO-POMORSKIE,MARIANNA,KOBIETA,23
04,KUJAWSKO-POMORSKIE,JADWIGA,KOBIETA,23
04,KUJAWSKO-POMORSKIE,KLARA,KOBIETA,22
04,KUJAWSKO-POMORSKIE,EMILIA,KOBIETA,21
04,KUJAWSKO-POMORSKIE,HALINA,KOBIETA,20
04,KUJAWSKO-POMORSKIE,PAULINA,KOBIETA,18
04,KUJAWSKO-POMORSKIE,IZABELA,KOBIETA,18
04,KUJAWSKO-POMORSKIE,STANISŁAWA,KOBIETA,17
04,KUJAWSKO-POMORSKIE,MARCELINA,KOBIETA,17
04,KUJAWSKO-POMORSKIE,BEATA,KOBIETA,17
04,KUJAWSKO-POMORSKIE,DANUTA,KOBIETA,16
04,KUJAWSKO-POMORSKIE,WANDA,KOBIETA,15
04,KUJAWSKO-POMORSKIE,RÓŻA,KOBIETA,15
04,KUJAWSKO-POMORSKIE,KORNELIA,KOBIETA,15
04,KUJAWSKO-POMORSKIE,KINGA,KOBIETA,15
04,KUJAWSKO-POMORSKIE,PATRYCJA,KOBIETA,14
04,KUJAWSKO-POMORSKIE,JUSTYNA,KOBIETA,14
04,KUJAWSKO-POMORSKIE,DOMINIKA,KOBIETA,14
04,KUJAWSKO-POMORSKIE,ANIELA,KOBIETA,14
04,KUJAWSKO-POMORSKIE,NADIA,KOBIETA,13
04,KUJAWSKO-POMORSKIE,JAGODA,KOBIETA,13
04,KUJAWSKO-POMORSKIE,DOROTA,KOBIETA,13
04,KUJAWSKO-POMORSKIE,IWONA,KOBIETA,12
04,KUJAWSKO-POMORSKIE,STEFANIA,KOBIETA,11
04,KUJAWSKO-POMORSKIE,IGA,KOBIETA,11
04,KUJAWSKO-POMORSKIE,ROZALIA,KOBIETA,10
04,KUJAWSKO-POMORSKIE,RENATA,KOBIETA,10
04,KUJAWSKO-POMORSKIE,KAMILA,KOBIETA,9
04,KUJAWSKO-POMORSKIE,JOLANTA,KOBIETA,9
04,KUJAWSKO-POMORSKIE,DARIA,KOBIETA,9
04,KUJAWSKO-POMORSKIE,BOŻENA,KOBIETA,9
04,KUJAWSKO-POMORSKIE,SARA,KOBIETA,8
04,KUJAWSKO-POMORSKIE,NIKOLA,KOBIETA,8
04,KUJAWSKO-POMORSKIE,KLAUDIA,KOBIETA,8
04,KUJAWSKO-POMORSKIE,FAUSTYNA,KOBIETA,8
04,KUJAWSKO-POMORSKIE,APOLONIA,KOBIETA,8
04,KUJAWSKO-POMORSKIE,WIESŁAWA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,RITA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,LILIANA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,KONSTANCJA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,KAJA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,BLANKA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,ANGELIKA,KOBIETA,7
04,KUJAWSKO-POMORSKIE,SABINA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,POLA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,MARTYNA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,MARIOLA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,LIDIA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,JÓZEFA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,GRAŻYNA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,CECYLIA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,ADRIANNA,KOBIETA,6
04,KUJAWSKO-POMORSKIE,SANDRA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,REGINA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,MILENA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,MARZENA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,LIWIA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,ELIZA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,BERNADETA,KOBIETA,5
04,KUJAWSKO-POMORSKIE,VIOLETTA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,SYLWIA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,NELA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,MIROSŁAWA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,MATYLDA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,MARLENA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,MARIKA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,LUCYNA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,JULITA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,JOWITA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,IDA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,FRANCISZKA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,ELEONORA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,CZESŁAWA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,BOGUMIŁA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,AURELIA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,ALINA,KOBIETA,4
04,KUJAWSKO-POMORSKIE,VIKTORIA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,ROKSANA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,OTYLIA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,OLGA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,KARINA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,IZABELLA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,HONORATA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,EWELINA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,ELENA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,EDYTA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,DANIELA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,BRONISŁAWA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,ANETA,KOBIETA,3
04,KUJAWSKO-POMORSKIE,WIOLETTA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,WALERIA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,VICTORIA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,TATIANA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,TAMARA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,SALOMEA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ROMA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,OKTAWIA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,NICOLE,KOBIETA,2
04,KUJAWSKO-POMORSKIE,LUDWIKA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,LILIANNA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,LILIA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,LILA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,LEA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,KALINA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,JUDYTA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,JÓZEFINA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,JAGNA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,GENOWEFA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,GAJA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,FELICJA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,EUFEMIA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ESTERA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,EMMA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,EMILY,KOBIETA,2
04,KUJAWSKO-POMORSKIE,DIANA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,DAGMARA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,CELINA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,BRYGIDA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,BOGUSŁAWA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,BIANKA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,AURORA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ANITA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ANETTA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ALEXANDRA,KOBIETA,2
04,KUJAWSKO-POMORSKIE,ADA,KOBIETA,2
06,LUBELSKIE,MARIA,KOBIETA,201
06,LUBELSKIE,ANNA,KOBIETA,149
06,LUBELSKIE,ZOFIA,KOBIETA,72
06,LUBELSKIE,WIKTORIA,KOBIETA,55
06,LUBELSKIE,MAGDALENA,KOBIETA,51
06,LUBELSKIE,ALICJA,KOBIETA,45
06,LUBELSKIE,HELENA,KOBIETA,43
06,LUBELSKIE,ŁUCJA,KOBIETA,41
06,LUBELSKIE,EWA,KOBIETA,41
06,LUBELSKIE,JULIA,KOBIETA,40
06,LUBELSKIE,ALEKSANDRA,KOBIETA,36
06,LUBELSKIE,BARBARA,KOBIETA,35
06,LUBELSKIE,MAŁGORZATA,KOBIETA,32
06,LUBELSKIE,KATARZYNA,KOBIETA,30
06,LUBELSKIE,JOANNA,KOBIETA,28
06,LUBELSKIE,WERONIKA,KOBIETA,27
06,LUBELSKIE,KAROLINA,KOBIETA,27
06,LUBELSKIE,EMILIA,KOBIETA,27
06,LUBELSKIE,NATALIA,KOBIETA,26
06,LUBELSKIE,ANTONINA,KOBIETA,26
06,LUBELSKIE,ZUZANNA,KOBIETA,24
06,LUBELSKIE,LENA,KOBIETA,23
06,LUBELSKIE,ELŻBIETA,KOBIETA,23
06,LUBELSKIE,OLIWIA,KOBIETA,22
06,LUBELSKIE,TERESA,KOBIETA,21
06,LUBELSKIE,MAJA,KOBIETA,21
06,LUBELSKIE,HANNA,KOBIETA,21
06,LUBELSKIE,AGNIESZKA,KOBIETA,21
06,LUBELSKIE,AMELIA,KOBIETA,20
06,LUBELSKIE,RITA,KOBIETA,19
06,LUBELSKIE,IZABELA,KOBIETA,19
06,LUBELSKIE,MICHALINA,KOBIETA,18
06,LUBELSKIE,RÓŻA,KOBIETA,17
06,LUBELSKIE,KRYSTYNA,KOBIETA,17
06,LUBELSKIE,PAULINA,KOBIETA,15
06,LUBELSKIE,LAURA,KOBIETA,15
06,LUBELSKIE,KLARA,KOBIETA,15
06,LUBELSKIE,JADWIGA,KOBIETA,15
06,LUBELSKIE,ANASTAZJA,KOBIETA,15
06,LUBELSKIE,MARIANNA,KOBIETA,14
06,LUBELSKIE,JANINA,KOBIETA,14
06,LUBELSKIE,GABRIELA,KOBIETA,14
